epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.273,1.18533,2.03658,1.41825,0.83214,0.73149,0.83908,0.58793,1.11156,1.27855,1.41624,0.00332902,0.00332902,0.00332902
2,271.798,1.14924,1.43088,1.37716,0.75585,0.65745,0.75475,0.48579,1.38876,1.26228,1.63965,0.00664036,0.00664036,0.00664036
3,400.266,1.26185,1.42798,1.45875,0.6873,0.55623,0.6443,0.37485,1.7049,1.53141,1.95289,0.00992971,0.00992971,0.00992971
4,525.71,1.32164,1.43535,1.51288,0.7557,0.65886,0.76953,0.4829,1.44087,1.24214,1.73543,0.009901,0.009901,0.009901
5,652.815,1.24051,1.30844,1.45883,0.72985,0.65276,0.72782,0.4399,1.51654,1.33653,1.80734,0.009868,0.009868,0.009868
6,781.656,1.17378,1.21016,1.41955,0.78475,0.73102,0.82936,0.55053,1.3248,1.06243,1.63538,0.009835,0.009835,0.009835
7,909.909,1.12582,1.14259,1.38792,0.82775,0.70244,0.81646,0.54256,1.34481,1.12014,1.67925,0.009802,0.009802,0.009802
8,1037.83,1.08875,1.09111,1.36447,0.81185,0.71603,0.83425,0.55087,1.33009,1.03371,1.68115,0.009769,0.009769,0.009769
