epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1867.86,0.6894,0.59964,1.10443,0.88017,0.82006,0.91188,0.70331,0.97037,0.70835,1.33575,0.008581,0.008581,0.008581
45,1909.09,0.68862,0.59473,1.10279,0.88113,0.8135,0.90546,0.70503,0.97842,0.72277,1.34936,0.008548,0.008548,0.008548
46,1950.18,0.68008,0.591,1.09425,0.88411,0.83271,0.91896,0.71344,0.96639,0.67556,1.34377,0.008515,0.008515,0.008515
47,1991.76,0.68061,0.5878,1.09338,0.89364,0.80319,0.91379,0.70903,0.96407,0.68613,1.33347,0.008482,0.008482,0.008482
48,2034.33,0.68087,0.5817,1.09646,0.87127,0.81443,0.91134,0.70791,0.96978,0.70516,1.33252,0.008449,0.008449,0.008449
49,2077.87,0.67258,0.5773,1.09378,0.87215,0.81631,0.91,0.70788,0.96263,0.70348,1.32686,0.008416,0.008416,0.008416
50,2118.87,0.6778,0.57876,1.09688,0.88692,0.80881,0.91564,0.7107,0.96279,0.69094,1.32646,0.008383,0.008383,0.008383
51,2160.55,0.67193,0.57588,1.094,0.89852,0.79991,0.91455,0.71165,0.96078,0.69302,1.3217,0.00835,0.00835,0.00835
52,2202.23,0.66785,0.56855,1.08894,0.88498,0.81844,0.91373,0.71259,0.96258,0.69031,1.33084,0.008317,0.008317,0.008317
53,2243.92,0.66122,0.56462,1.08834,0.89896,0.8213,0.91865,0.71765,0.95752,0.66775,1.32366,0.008284,0.008284,0.008284
54,2285.42,0.6549,0.55643,1.07978,0.89198,0.83411,0.92372,0.72026,0.95409,0.65736,1.32425,0.008251,0.008251,0.008251
55,2326.57,0.65956,0.55788,1.08474,0.90271,0.81746,0.92112,0.71861,0.95764,0.66537,1.3278,0.008218,0.008218,0.008218
56,2370.35,0.65708,0.55371,1.08227,0.90321,0.80834,0.9216,0.72128,0.94918,0.66174,1.31576,0.008185,0.008185,0.008185
57,2412.36,0.6522,0.55305,1.08105,0.9116,0.8167,0.92296,0.72148,0.94285,0.65849,1.30753,0.008152,0.008152,0.008152
58,2454.67,0.65077,0.55061,1.07884,0.90339,0.8194,0.92197,0.72276,0.94012,0.65971,1.30595,0.008119,0.008119,0.008119
59,2496.2,0.65176,0.54615,1.08074,0.90823,0.81159,0.92114,0.72399,0.93526,0.66172,1.30571,0.008086,0.008086,0.008086
60,2537.66,0.64602,0.54361,1.07963,0.90891,0.81631,0.92294,0.72576,0.93337,0.65909,1.30282,0.008053,0.008053,0.008053
61,2579.22,0.64572,0.54327,1.079,0.89494,0.83177,0.92558,0.7282,0.92993,0.65352,1.30353,0.00802,0.00802,0.00802
62,2620.67,0.64161,0.54076,1.07593,0.88981,0.8313,0.92265,0.72565,0.92409,0.66613,1.29854,0.007987,0.007987,0.007987
63,2663.86,0.64513,0.5387,1.07724,0.88911,0.82286,0.91892,0.72647,0.92577,0.67181,1.30201,0.007954,0.007954,0.007954
64,2706.03,0.64322,0.53955,1.07545,0.87303,0.83646,0.92058,0.72489,0.93051,0.6705,1.30905,0.007921,0.007921,0.007921
65,2747.78,0.63984,0.54208,1.07232,0.88561,0.82715,0.92117,0.72546,0.92723,0.66329,1.3043,0.007888,0.007888,0.007888
66,2788.83,0.63068,0.52387,1.06652,0.88717,0.83271,0.92092,0.72737,0.92828,0.65819,1.30591,0.007855,0.007855,0.007855
67,2830.39,0.63485,0.52668,1.06627,0.87416,0.8366,0.92015,0.72754,0.92576,0.65751,1.30232,0.007822,0.007822,0.007822
68,2871.92,0.63296,0.53277,1.07085,0.87828,0.82844,0.92129,0.7282,0.92364,0.65734,1.30175,0.007789,0.007789,0.007789
69,2913.96,0.63069,0.53069,1.07069,0.86588,0.838,0.92068,0.73005,0.92509,0.64972,1.30533,0.007756,0.007756,0.007756
70,2955.44,0.62342,0.52484,1.06394,0.87074,0.83224,0.92088,0.73079,0.92282,0.65293,1.30413,0.007723,0.007723,0.007723
71,2998.43,0.62904,0.53245,1.06696,0.86814,0.82896,0.91993,0.73003,0.92046,0.66116,1.30104,0.00769,0.00769,0.00769
72,3040.2,0.61816,0.52017,1.06118,0.86237,0.83271,0.91804,0.73086,0.91778,0.66433,1.29953,0.007657,0.007657,0.007657
73,3082.29,0.61747,0.51247,1.06036,0.86601,0.82384,0.91765,0.72928,0.91698,0.66857,1.29727,0.007624,0.007624,0.007624
74,3124.15,0.62137,0.5201,1.06131,0.87326,0.81724,0.91591,0.72917,0.91679,0.67027,1.29588,0.007591,0.007591,0.007591
75,3166.33,0.61156,0.50903,1.0555,0.86767,0.82348,0.91724,0.73018,0.91548,0.67054,1.29477,0.007558,0.007558,0.007558
76,3207.18,0.61653,0.51701,1.06061,0.86397,0.82741,0.91876,0.73167,0.91321,0.66443,1.29288,0.007525,0.007525,0.007525
77,3247.89,0.61811,0.51001,1.06157,0.87283,0.81912,0.91825,0.73063,0.91026,0.66371,1.29055,0.007492,0.007492,0.007492
78,3291.34,0.61107,0.50989,1.05609,0.88078,0.81355,0.91659,0.73116,0.9089,0.66545,1.28905,0.007459,0.007459,0.007459
79,3333.27,0.61148,0.51107,1.05582,0.88487,0.81032,0.91636,0.73037,0.909,0.665,1.28759,0.007426,0.007426,0.007426
